product_name,manufacturer,number_available_in_stock,number_of_reviews,number_of_answered_questions,ebay_category,average_review_rating (out of 5 stars),main sale country,price (ï¿,,,
"Silver Number One 1 Foil Balloon 40"" Uninflated Supershape",Amscan,5,1,1,Balloons,5,Japan,2.98,,,
25 x pink just married all round print balloons,Amscan,0,1,1,Balloons,5,Japan,3.5,,,
Amscan International Balloons 12.5 cm Ebony Balloons 1 pack of 100,Amscan,4,8,1,Balloons,4.3,Japan,7.95,,,
"Pack of 20 Red/White/Blue Latex Balloons (9""/23cm) {Great Britain}",Amscan,12,43,2,Balloons,4.3,Japan,1.89,,,
Amscan Mickey Mouse Happy Birthday Son Standard HX Foil Balloons,Amscan,6,7,2,Balloons,3,Japan,2.68,,,
Amscan International Octonauts Confetti Ribbon,Amscan,6,8,2,Balloons,5,Japan,2,,,
Amscan International Halloween 3 Tier Cakestand,Amscan,9,17,2,Balloons,4.8,China,4.1,,,
Amscan International Tweety Happy Bday,Amscan,7,1,2,Balloons,5,China,10.9,,,
Age 14 Birthday Balloons boy or Girl {AMSCAN },Amscan,2,3,1,Balloons,5,China,2.74,,,
Amscan International Gb Rally Flag,Amscan,3,1,1,Balloons,3.6,China,2.38,,,
Amscan International Super/ Shape Peppa Pig Balloon,Amscan,15,3,1,Balloons,4.7,China,4.75,,,
Amscan International S-Shape Bugs Bunny,Amscan,8,1,2,Balloons,5,China,2.04,,,
Amscan International Welcome Back Camouflage,Amscan,8,4,1,Balloons,5,China,2.3,,,
Amscan International Toilet Grabber,Amscan,10,141,1,Balloons,4.1,China,1.99,,,
Amscan International S-Shape Number 5 Balloon (Blue),Amscan,6,1,1,Balloons,5,China,3.49,,,
Amscan Fisher Price Circus Happy Birthday Lion Standard Foil Balloons,Amscan,11,1,1,Balloons,5,China,2.65,,,
Amscan International Vampire Room Rolls (pack of 2),Amscan,5,1,1,Balloons,3.6,China,9,,,
